ax,ay,az,gx,gy,gz,time
404368.0,-1.05,-2.13,3.87,-0.09,-1.53,0.15
404381.0,-0.72,-1.85,1.46,-0.01,-0.82,-0.23
404394.0,0.32,0.0,-1.98,0.04,-0.53,-0.34
404407.0,0.6,0.96,-2.95,0.07,-0.24,-0.36
404420.0,1.09,1.3,-2.75,0.19,0.49,-0.19
404433.0,1.41,1.54,-0.65,0.42,0.96,-0.15
404446.0,0.97,2.93,5.75,0.46,1.43,-0.17
404459.0,-0.05,3.04,9.06,0.12,1.48,-0.1
404472.0,-0.97,1.87,18.64,-0.25,1.38,0.06
404485.0,-1.4,1.53,20.34,-0.11,1.19,0.09
404498.0,-1.28,1.3,25.34,0.22,0.24,0.16
404512.0,-1.45,1.57,25.14,0.23,-0.42,0.17
404525.0,-1.48,1.9,23.67,-0.12,-1.34,0.27
404538.0,-0.56,1.31,19.11,-0.11,-1.48,0.29
404551.0,-0.33,0.96,17.71,0.07,-1.55,0.21
404564.0,-0.23,0.21,11.93,0.15,-1.7,0.17
404577.0,0.2,-0.39,7.84,0.36,-1.8,0.11
404590.0,0.84,-1.73,-0.15,0.42,-1.61,0.07
404603.0,1.03,-2.2,-3.01,0.38,-0.81,-0.18
404616.0,0.6,-2.05,-4.79,0.34,-0.26,-0.34
404629.0,0.31,-1.46,-3.36,0.49,0.79,-0.51
404642.0,-0.07,-0.01,1.93,0.57,1.08,-0.55
404655.0,-0.32,0.44,4.94,0.29,1.03,-0.52
404668.0,-0.92,0.75,9.94,0.09,0.8,-0.47
404681.0,-1.16,0.93,10.79,-0.05,0.21,-0.37
404694.0,-0.94,0.99,10.79,-0.08,0.08,-0.34
404707.0,-0.68,1.09,10.8,-0.29,0.1,-0.38
404720.0,-0.13,2.07,11.25,-0.4,0.13,-0.43
404733.0,-0.51,2.53,12.95,-0.37,-0.02,-0.35
404746.0,-0.41,2.97,13.38,-0.25,-0.13,-0.27
404760.0,-0.52,2.7,13.18,-0.15,-0.34,-0.11
404773.0,-0.4,1.71,12.82,-0.1,-0.39,-0.07
404786.0,-0.21,1.48,12.42,-0.01,-0.42,-0.1
404799.0,0.34,1.48,11.73,0.06,-0.49,-0.17
404812.0,0.37,1.73,11.34,-0.04,-0.47,-0.22
404825.0,0.78,1.82,10.53,-0.22,-0.42,-0.23
404838.0,1.07,1.9,10.23,-0.17,-0.35,-0.27
404851.0,1.23,2.5,9.99,-0.04,-0.17,-0.35
404864.0,1.34,2.86,9.94,-0.01,-0.12,-0.33
404877.0,1.33,2.92,9.87,0.01,-0.14,-0.21
404890.0,1.4,2.34,9.5,-0.05,-0.15,-0.14
404903.0,1.36,2.05,9.32,-0.16,-0.17,-0.13
404916.0,1.0,1.7,9.26,-0.18,-0.15,-0.15
404929.0,1.03,1.71,9.37,-0.27,-0.11,-0.16
404942.0,1.11,1.16,9.45,-0.36,-0.17,-0.14
404955.0,1.27,0.67,9.39,-0.53,-0.23,-0.14
404968.0,1.04,0.01,9.09,-0.45,-0.22,-0.2
404981.0,1.11,-0.19,9.1,-0.21,-0.11,-0.31
404994.0,0.88,0.17,9.66,-0.2,-0.07,-0.4
405007.0,0.7,0.67,9.89,-0.45,-0.1,-0.46
405021.0,0.81,1.62,10.03,-0.56,-0.14,-0.41
405034.0,0.88,1.81,9.96,-0.38,-0.14,-0.31
405047.0,0.92,2.03,9.97,-0.22,-0.12,-0.27
405060.0,1.06,2.01,10.0,-0.2,-0.11,-0.16
405073.0,2.93,4.13,11.61,-0.28,-0.34,0.06
405086.0,0.07,0.88,10.82,-0.53,-0.43,0.13
405099.0,1.04,1.3,9.59,-0.46,-0.38,0.07
405112.0,0.71,1.31,9.94,-0.45,-0.23,0.01
405125.0,1.02,0.43,9.79,-0.37,-0.19,-0.02
405138.0,1.33,-0.04,9.9,-0.22,-0.19,-0.07
405151.0,1.61,-0.89,10.22,-0.08,-0.27,-0.15
405164.0,1.72,-1.14,10.0,-0.04,-0.23,-0.19
405177.0,1.91,-1.0,9.23,0.12,-0.21,-0.36
405190.0,1.53,-1.06,9.09,0.25,-0.09,-0.45
405203.0,1.27,0.14,9.58,0.22,0.14,-0.56
405216.0,1.61,0.31,9.62,0.13,0.19,-0.54
405229.0,1.28,0.57,9.51,0.09,0.25,-0.53
405242.0,1.32,0.75,9.75,0.14,0.21,-0.51
405255.0,1.1,0.7,9.48,0.28,0.14,-0.43
405269.0,1.07,0.27,9.32,0.29,0.09,-0.42
405282.0,0.72,-0.03,9.78,0.09,0.0,-0.52
405295.0,1.16,0.16,9.63,-0.14,0.01,-0.59
405308.0,1.17,0.63,9.3,-0.37,0.08,-0.69
405321.0,1.03,1.49,9.31,-0.39,0.13,-0.7
405334.0,1.21,1.63,9.27,-0.26,0.22,-0.63
405347.0,1.09,1.62,9.86,-0.15,0.23,-0.61
405360.0,1.15,1.19,9.99,-0.15,0.11,-0.66
405373.0,0.78,0.27,9.17,-0.24,0.02,-0.71
405386.0,0.99,0.57,8.93,-0.55,0.05,-0.76
405399.0,1.13,1.09,8.53,-0.73,0.13,-0.72
405412.0,1.58,1.33,8.68,-0.5,0.26,-0.65
405425.0,1.52,1.8,9.98,-0.2,0.32,-0.61
405438.0,1.58,1.41,11.01,0.17,0.35,-0.45
405451.0,1.36,1.0,13.17,0.22,0.35,-0.43
405464.0,1.19,1.06,14.13,0.21,0.25,-0.43
405477.0,0.38,1.15,16.89,0.11,0.14,-0.46
